#N/A,Title,"Recommended
Title ",English,Title,Arabic,Title,Komeyl,Bijan
partners@opofinance.com,ایمیل آی بی,آی بی- ایمیل آی بی,partners@opofinance.com,IB – IB Email,partners@opofinance.com,الاي بي– البريد الايميل,Finalized,Done
"سود آی بی زمانی که پوزیشن زیرمجموعه بسته می شود، به صورت روزانه  به ولت واریز می شود
توجه بفرمایید برای برداشت سود آی بی، حتما به موارد زیر توجه بفرمایید:
* مبلغ آن حتما بالای ۵۰ دلار باشد
* فقط و فقط در روز چهارشنبه می توانید از ولت آی بی برداشت بفرمایید

چنانچه هر یک از شرایط بالا رعايت نشود، شما مجاز به برداشت از ولت آی بی نخواهید بود.",آی بی-سودIB,آی بی- برداشت سود,"The IB commission is credited to your wallet on a daily basis once your sub-affiliate’s position is closed.
Please kindly note the following important points regarding IB commission withdrawals:
        •        The withdrawal amount must exceed 50 USD.
        •        Withdrawals from the IB wallet are permitted only on Wednesdays.

If any of the above conditions are not met, you will not be eligible to withdraw from your IB wallet.",IB - Profit Withdrawal,"يتم إيداع عمولة الوسيط المعرف (IB) في المحفظة بشكل يومي بعد إغلاق صفقات العملاء التابعين لك.
يرجى  مراعاة الشروط التالية الخاصة بسحب عمولة الوسيط المعرف:
        •        يجب أن يكون مبلغ السحب أكثر من 50 دولارًا أمريكيًا.
        •        يمكنكم السحب من محفظتكم ( IB Wallet ) يوم الأربعاء فقط.

في حال عدم الالتزام بأيٍّ من الشروط المذكورة فوق، لن تكونوا مؤهلين لسحب المبلغ من المحفظة.",الاي بي - كيفية سحب الأرباح,Finalized,Done
"در بخش آی بی، شما از معاملات زیرمجموعه های خودتون سود دریافت میفرمایید
به این صورت که بسته به نوع فعالیت و نوع حساب آنها این سود متفاوت خواهد بود

این بخش مربوط به کاربرانی است که می خواهند گروهی از افراد را از طرف خودشان به بروکر معرفی کنند و به عنوان
IB
 یا 
Introducing Broker 
از حجم معاملات، نوع معاملات و نوع حساب آنها سود دریافت کنند که این سود متفاوت خواهد بود .",آی بی-تعریف,آی بی- تعریف ,"In the IB section, you receive commissions from the trades of your sub-affiliates.
The amount of this commission may vary depending on their trading activity and account type.

This section is designated for users who wish to introduce a group of clients to the broker under their referral. As an IB (Introducing Broker), they will earn commissions based on the trading volume, trading type, and account type of their referrals, with the commission amount varying accordingly.",IB - Definition,"في القسم الخاص بالوسيط المعرف، يحصل الوسيط المعرف على عمولة من صفقات العملاء التابعين له.
وتختلف قيمة هذه العمولة حسب نشاط التداول ونوع الحساب الخاص بهم.

هذا القسم مخصص "" للوسيط المعرّف"" الذي يرغب في تقديم مجموعة من العملاء إلى الشركة باسمه. وبصفتك وسيط معرّف (IB (Introducing Broker، ستحصل على عمولة تعتمد على حجم و نوع التداول، ونوع الحساب الخاص بعملائك التابعين - أي من عرفتهم على الشرك- و تختلف قیمة هذه العمولة وفقًا لذلك.",الاي بي - التعريف: من هو المعرف؟,Finalized,Done
"اگر تمایل دارید تا  زیرمجموعه ی یک آی بی شوید ، طبق متن زیر اقدام بفرمایید :
برای این امر نیاز است تا یک حساب معاملاتی جدید بسازید و در زمان ساخت حساب بر روی گزینه
Opo IB Network
که در زیر باکس انتخاب لوریج هست کلیک نمایید تا کادر برای وارد کردن کد آی بی (کلاینت آی دی) باز شود.

در این باکس کد آی بی مورد نظرتون را وارد نمایید و حساب را بسازید.

لطفا توجه داشته باشید که امکان ثبت آی بی بر روی حساب های معاملاتی قبلی وجود نخواهد داشت.

همچنین اگر حساب معاملاتی شما زیرمجوعه هیچ شخصی نباشد این حساب زیرمجموعه آی بی شخصی خواهد بود که در زمان ثبت نام آن را وارد کرده اید.

اگر به حداکثر تعداد مجاز برای ساخت حساب رسیده اید و امکان ساخت حساب جدید را ندارید لطفا درخواست حذف حساب های قبلی خود را به همراه شماره حساب معاملاتی به ایمیل زیر ارسال بفرمایید.
support@opofinance.com

بعد از اینکه حساب برای شما حذف شد میتوانید حساب معاملاتی ایجاد نمایید.",آی بی-تغییرآی بی,آی بی- تغییر آی بی,"If you would like to become a sub–client under an IB, please follow the steps below                                                                                                                                           You need to create a new trading account. During the account creation process, click on “Opo IB Network” (located below the leverage selection box). This will open a field where you can enter the IB Code (Client ID).Enter the desired IB code in this field and complete the account creation.

Please note that it is not possible to assign or change an IB for previously created trading accounts.

Also, if your trading account is not linked to any IB, it will automatically be assigned to the IB you entered during your initial registration.

If you have reached the maximum number of allowed trading accounts and cannot create a new one, please send a request to delete your previous accounts (including your trading account number) to the following email:
📩 support@opofinance.com

Once the accounts are deleted, you will be able to create a new trading account.",IB –IB swap,"إذا كنت ترغب في اختيار وسيط معرف (IB)، يُرجى اتباع الخطوات التالية:

يجب عليك إنشاء حساب تداول جديد، وخلال عملية إنشاء الحساب اضغط على خيار ""Opo IB Network"" الموجود أسفل مربع اختيار الرافعة المالية.
ستظهر لك خانة لإدخال رقم الوسيط المعرف- (Client ID).

أدخل رمز الوسيط المعرّف المطلوب في هذا الحقل  وأكمل عملية إنشاء الحساب.

يرجى ملاحظة أنه لا يمكن تعيين أو تغيير الوسيط المعرف لحسابات تم إنشاءها مسبقاً.

كذلك، في حال لم يكن حساب التداول الخاص بك تابعًا لأي وسيط معرفاً فسيتم ربطه تلقائيًا بالوسيط المعرّف الذي قمت بإدخال رقمه أثناء التسجيل.

إذا كنت قد وصلت إلى الحد الأقصى لعدد حسابات التداول المسموح بها ولا يمكنك إنشاء حساب جديد، يُرجى إرسال طلب لحذف حساباتك السابقة مع ذكر رقم حساب التداول إلى البريد الإلكتروني التالي: support@opofinance.com

بعد حذف الحسابات، يمكنك إنشاء حساب تداول جديد.",الاي بي – اختيار المعرّف، اختيار الاي بي,Finalized,Done
"متن زیر را  برای ایمیل زیر ارسال بفرمایید:
I would like not to be under any IB number. And I'm confirming it.

partners@opofinance.com",آی بی- خروج,آی بی- حذف آی بی,Please send the following text to the email below:I would like not to be under any IB number. And I'm confirming it.                         partners@opofinance.com,IB – Delete IB,":يرجى إرسال هذا النص
""I would like not to be under any IB number. And I'm confirming it.""  
: إلى البريد الإلكتروني التالي
partners@opofinance.com",الاي بي – حذف الاي بي - حذف المعرّف,Finalized,Done
"برای دسترسی به بنرها می توانید درداشبورد آی بی قسمت 
Marketing Tools
را انتخاب کنید.
سپس در قسمت 
Promo Materials 
فیلدهای مربوطه را انتخاب و بنر مورد نظر خود را مشاهده بفرمایید . ",آی بی-بنر,آی بی- دانلود بنر تبلیغاتی,"To access the banners, please go to the IB Dashboard and select Marketing Tools.Then, in the Promo Materials section, choose the relevant fields to view your desired banner",IB – Download Promotional Banner,"يمكنك الوصول لللّافتات من خلال  لوحة التحكم الـخاصة بالوسيط المعرف (IB ) و اختيار:
Marketing Tools
وبعد ذالك الذهاب الى
Promo Materials  
هنا يمكنك اختيار الحقول التي تناسبك، و من ثم مشاهدة اللّافتات.",الاي بي – تحميل اللّافتة الترويجية,Finalized,Done
"برای اینکه آی بی شوید پس از تکمیل نمودن احراز هویت، از لیست منو گزینه 
Request IB 
را بزنید. سپس منتظر باشید تا درخواست شما بررسی شده و نتیجه آن از طریق ایمیل ارسال شود.
ممکن است بخش آی بی با شما تماس بگیرن پس لطفا در دسترس باشین همچنین یک الی دو روز کاری زمان خواهد برد",آی بی-Ibشدن,آی بی- درخواست آی بی شدن,"To become an IB, please select Request IB from the main menu after completing your identity verification.Then, wait for your request to be reviewed — the result will be sent to you via email.Please note that the IB Department may contact you, so make sure to stay available. The review process usually takes one to two business days.",IB – Request to Become an Introducing Broker,"لتصبح معرفًا وسيطًا أو ما يعرف بالاي بي (IB)، يُرجى اختيار طلب IB او request IB من القائمة الرئيسية بعد إتمام عملية التحقق من الهوية ""identity verification"". بعد ذلك، يُرجى انتظار مراجعة طلبك، وسيتم إرسال النتيجة إلى بريدك الإلكتروني.
قد يتواصل معك قسم الوسيط المعرف""IB""  لذا يُرجى البقاء متاحًا. تستغرق عملية المراجعة عادةً من يوم إلى يومين عمل.
",الاي بي–معرّف الوسیط–طلب أن تصبح معرفًا وسيطًا ,Finalized,Done
"لطفا در پنل کاربری خود به قسمت
Switch to IB Panel
مراجعه کرده و در قسمت
Marketing Tools  
گزینه
Link 
را باز کنید. سپس  در قسمت 
Name
نام دلخواه خود را انتخاب کرده و در قسمت
Traget Page 
صفحه ای که مایل هستید از طریق لینک به آن وارد شوند را انتخاب بفرمایید.  
سپس لینک مورد نظر خود را بسازید و برای دوستان ارسال کنید.",آی بی - لینک رفرال,آی بی- ساخت لینک رفرال,"Please go to your user panel and navigate to Switch to IB Panel.Then, open the Link option under Marketing Tools.In the Name field, enter your preferred name, and in the Target Page section, select the page you want users to be directed to via your link.Finally, generate your referral link and share it with your friends or clients.",IB – Creating a Referral Link,"يُرجى الدخول إلى الحساب الخاص بك والتوجه إلى قسم
  (Switch to IB Panel)
و من خلال أدوات التسويق 
(Marketing Tools)
يرجى اختيار خيار 
(Link)
في خانة الاسم (Name)، أدخل الاسم الذي تفضله، 
و في قسم الصفحة المستهدفة (Target Page) اختر الصفحة التي ترغب أن يتم توجيه المستخدمين إليها عبر الرابط الخاص بك.
أخيرًا، أنشئ رابط الإحالة الخاص بك وشاركه مع أصدقائك أو عملائك.",الاي بي – إنشاء رابط الإحالة,Finalized,Done
"میزان Spread در حساب ECN-Pro از سمت کارگزاری صفر است یعنی کارگزاری از شما هیچ اسپردی دریافت نمی کند. میزان Spread پایینی که شما در متاتریدر می بینید که گاهی به زیر یک پیپ هم میرسد از سمت بانکها است. این مورد کاملا طبیعی می باشد و بیانگر این است که کارگزاری ما به Liquidity Provider متصل می باشد.
این حساب به دلیل کامیشن معقول که به ازای هر لات ۴ دلار محاسبه میگردد محبوبترین حساب های معاملاتی برای معامله گران می باشد و با توجه به این ویژگی نسبت به سایر حسابها با واریزی بیشتری فعال می شود.",اسپرد - ECN PRO,اضافه,"The spread in the ECN-Pro account is zero from the broker’s side, meaning that the broker does not charge you any spread.
The small spread you see on MetaTrader — sometimes even below one pip — comes directly from the banks and liquidity providers.This is completely normal and indicates that our brokerage is directly connected to liquidity providers.This account type is among the most popular trading accounts due to its reasonable commission of $4 per lot.Because of this feature, it is typically activated with a higher initial deposit compared to other account types.",Spread - ECN PRO,"مقدار السبريد هو صفر في حساب ECN-Pro في شركة أوبو، أي أن الشركة لا تأخذ أي سبريد من العميل. أما الفارق الطفيف الذي تراه في  الـMetaTrader — والذي قد يصل أحيانًا إلى أقل من نقطة واحدة(بیب واحد) — فهو صادر من البنوك ومزوّدي السيولة. يُعد هذا أمرًا طبيعيًا تمامًا، ويُظهر أن شركتنا متصلة مباشرةً بمزوّدي السيولة. يُعتبر هذا النوع من الحسابات من أكثر الحسابات شيوعًا بين المتداولين نظرًا لعمولته المعقولة المعادله لـ4 دولارات لكل لوت،
وعادةً ما يتم تفعيله بإيداع اکثر مقارناً بباقی انواع الحسابات الأخرى.",الفارق السعري- السبريد - ECN PRO,Finalized,Done
"ابتدا زبان سایت رو انگلیسی کنید، سپس
داخل پنل کاربری، روز گزینه PROFILE سپس PERSONAL INFORMATION بزنید، در قسمت 2Step Verification روی SETTING کلیک کنید و از منوی ظاهر شده گزینه Deactive 2fa رو انتخاب کنید و گزینه YES رو بزنید.
پس از انجام یک بار صفحه را رفرش کنید و یا مجدد وارد شوید.

برنامه Google Authenticator را دانلود و اکانت خود را به آن سینک می کنید
به منوی اصلی برنامه Google Authenticator بروید به بخش Settings بروید وارد بخش Time Correction for Codes شوید گزینه Sync Now را انتخاب کنید",آتنتیکیتور,رمز دو عاملی,"First, change the website language to English, then go to the user panel, click on PROFILE and then PERSONAL INFORMATION.In the 2-Step Verification section, click on SETTING, select Deactivate 2FA from the menu, and click YES. After completing this, refresh the page once or log in again.Download the Google Authenticator app and sync your account with it. Go to the main menu of the Google Authenticator app, enter Settings, go to Time Correction for Codes, and select Sync Now.",Two-Factor Authentication (2FA),"أولاً، غيّر لغة الصفحة إلى الإنجليزية،
 ثم سجل دخول الى حسابك، انقر على PROFILE ثم PERSONAL INFORMATION.
 في قسم 2-Step Verification، اضغط على SETTING، اختر Deactivate 2FA من القائمة، وانقر على YES.
 بعد ذلك، قم بتحديث الصفحة مرة واحدة أو سجل الدخول مرة أخرى. 
قم بتحميل تطبيق Google Authenticator ومزامنة ""Sync"" حسابك معه. 
انتقل إلى القائمة الرئيسية لتطبيق Google Authenticator، ادخل إلى Settings، اذهب إلى Time Correction for Codes، واختر Sync Now.",المصادقة الثنائية (2FA),Finalized,Done
